Sr. no,SKU,B2B Online,Lehenga Title,Category,Size,Choli Fabric,Lehenga Fabric,Dupatta Fabric,Inner Fabric,Color,Lehenga Length,Lehenga Flair,Lehenga Closer,Lehenga Stitching,Blouse Length,Blouse in Mtr,Dupatta Width,Dupatta Length,Sleeve,Sleeve Length,Neck Type,Work/Pattern,Work Type,Waist,Bust,Stitching,Content,Description,HSN,Img 1,Img 2,Img 3,Img 4,Img 5,Img 6,Img 7,Img 8,Img 9,Img 8,Img 9,Img 10,Img 11,Img 12,Img 13,,,,,
83,1010305_Black,1895,Classic Black Thread & Sequin Embroidered Festive & Party Wear Semi-Stitched Net Lehenga Choli with Designer Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Crepe,Black,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embrodiery and Daimond Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embrodiery and Daimond , Duptta Size :: 2.2 Mtr, Choli Fabric : Net,Choli Work :: Embrodiery Chain Stitch Work Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=13C6B1z3l7n0aQscfOcoAGu96tS10dWah&usp=drive_copy,https://drive.google.com/open?id=1QHKEj1l__SggE1hfCZcm912V-FGdEbgB&usp=drive_copy,https://drive.google.com/open?id=1KqdonJpUHr2F158xMmh_xC7CDfED1g1o&usp=drive_copy,https://drive.google.com/open?id=1kF3WtJ_hxqQDi8WVjW3xGsZqfgaqrCR1&usp=drive_copy,https://drive.google.com/open?id=13Mm1yPCC5FbQsw2KkjSoEc9z-kaTnGvR&usp=drive_copy,https://drive.google.com/open?id=1BjI9M-hWbEJm9PjqqgsWbLukJx3Bz74w&usp=drive_copy,,,,,,,,,,,,,,
84,1010304_Maroon,2195,Classic Maroon Sequin Embellished Festive & Party Wear Semi-Stitched Georgette Lehenga Choli with Heavy Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Crepe,Maroon,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Sequence Work,Embroidery Sequence Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embrodiery Work and sequence Work, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embroidery and sequence work , Duptta Size :: 2.2 Mtr, Choli Fabric : Net,Choli Work :: Embroidery work Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1raA8EBHLOit0Wa9JhyJ8a3g3uG2o4e23&usp=drive_copy,https://drive.google.com/open?id=1zvZEC4qDjU4CYw9mB7ZMrhjn3amDZYNZ&usp=drive_copy,https://drive.google.com/open?id=1c1W3Pb6-K3dol5kK-SDuO4eSQUavKk20&usp=drive_copy,https://drive.google.com/open?id=1s7_pf4dUpwhmn2CoR8hcxlf-kECLiF97&usp=drive_copy,https://drive.google.com/open?id=1bVoRixjN4orEsF-UMSY7d24zie9odrPN&usp=drive_copy,https://drive.google.com/open?id=1MtSyRGrwW5PiRAaSzM9CP_QjOaPEhnhN&usp=drive_copy,,,,,,,,,,,,,,
85,1010300_Pink,1795,Classic Rani Pink Embroidered Festive & Party Wear Semi-Stitched Georgette Lehenga Choli with Elegant Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Pink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Sequence Work,Embroidery Sequence Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work :: Embrodiery Work and sequence Work, Lehenga Inner :: Ceape ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embroidery and sequence work , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgette,Choli Work :: Embroidery work Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1do_FFm-zMMy4uWuMx5YUp4Znty4IBa-3&usp=drive_copy,https://drive.google.com/open?id=1fmycRok9WpajU1CPqeiPftoPY2JEGPrb&usp=drive_copy,https://drive.google.com/open?id=1g6cKyRicr0ONyOdDQswAaImtYngxI62s&usp=drive_copy,https://drive.google.com/open?id=1aZIz6fiswmKA3vIywPmyuYWJuoNZXqe8&usp=drive_copy,https://drive.google.com/open?id=1YS658vLQuDHMGJ76MFqgIzOdHjgyeDJl&usp=drive_copy,https://drive.google.com/open?id=1jsawd9Tbc9nJlt3bvmYKh_SCKe18Mu5C&usp=drive_copy,,,,,,,,,,,,,,
86,1010299_Maroon,1495,Classic Wine Floral Embroidered Festive & Party Wear Semi-Stitched Georgette Lehenga Choli with Designer Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Maroon,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embroidery Chain Stitch Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric ::Net,Duptta Work :: Embroidery Chain Stitch Work , Duptta Size :: 2.2 Mtr, Choli Fabric :Net,Choli Work :: Embroidery Chain Stitch Work, Choli Size:: 1 Mtr, Inner :: Crepe",62114290,https://drive.google.com/open?id=12zoXhXXUn90Y1M1RQlNFfnhv5stdp4GP&usp=drive_copy,https://drive.google.com/open?id=1LnM5BRWjasV7fNYFgyANQEjGkLip-5Sz&usp=drive_copy,https://drive.google.com/open?id=1TfcNFJlLgC4cA5E7vm7GB6Kyo_P5lpZU&usp=drive_copy,https://drive.google.com/open?id=1Bh8bOAIpHCTDS06fSxhfmHJttUkY1blQ&usp=drive_copy,https://drive.google.com/open?id=1Fswz_EPXn7ykwq20ErkGdyDlP2Ii8q2s&usp=drive_copy,https://drive.google.com/open?id=1xeKF0IHUykXXg1jUc5QE7chw2gD0mHbh&usp=drive_copy,,,,,,,,,,,,,,
87,1010298_GreenFogo,1695,Elegant Dark Green Festive & Party Wear Semi-Stitched Georgette Lehenga Choli with Designer Vertical Work Dupatta,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Foil Work,Embroidery Foil Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work :: Foil Work, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette,Duptta Work :: Foil work , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgette,Choli Work :: Foil work Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1NgM1oESGpSkaExf4gBLCn_GDMLYK5qt-&usp=drive_copy,https://drive.google.com/open?id=1xo9rKxtlMeuB5UJx4QXxDO7-m9RRI4yO&usp=drive_copy,https://drive.google.com/open?id=1DBEcbRcygkxlOBs4I6Mee6NDXOJ1M4ef&usp=drive_copy,https://drive.google.com/open?id=1hPj0rQzJapVecXdJ5LnaMj8u3UXDhUXW&usp=drive_copy,https://drive.google.com/open?id=1zkbecQHQQ7BtmfpRkO3pAvcjT8LQyuCs&usp=drive_copy,https://drive.google.com/open?id=1G1M2BznB3HkJQGbraAIaURQ4CYVlgAA-&usp=drive_copy,https://drive.google.com/open?id=1cqZyqseon71tHDLNyND7bSe4HEIuQpek&usp=drive_copy,,,,,,,,,,,,,
88,1010297_PurpleMukes,1395,Wine Purple Festive & Party Wear Semi-Stitched Georgette Ornamental Border Lehenga Choli with Designer Butti Work Dupatta,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Purple,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Fogo Work,Embroidery Fogo Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work :: Fogo Work, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette,Duptta Work :: Fogo work , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgette,Choli Work :: Fogo work Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1oPpRHb8Obi22qKvI9mftRT5Ybw2WE1qh&usp=drive_copy,https://drive.google.com/open?id=1qvBeLS_EZ2A3S0GgIrPa057xighExlXO&usp=drive_copy,https://drive.google.com/open?id=1IjD036TFzrRsllXDbvxC0PIMU4qUcMEc&usp=drive_copy,https://drive.google.com/open?id=1ccOSK7imFIkbtD6XWDyxCeGRkN-nXYCr&usp=drive_copy,https://drive.google.com/open?id=1x4amFwDcQ6y9CMEQ2PNRNpVO71JKXdou&usp=drive_copy,,,,,,,,,,,,,,,
89,1010296_Mehendi,1395,Elegant Olive Green Wedding Wear Semi-Stitched Rangoli Silk Lehenga Choli with Thread Embroidery Work,Lehenga Choli,Free Size up to 42Inch,Rangoli Silk,Rangoli Silk,Rangolisilk,Crepe,Mehendi,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Sequence Work,Embroidery Sequence Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric ::Rangoli silk, Lehenga Work :: Plain, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Rangoli Silk,Duptta Work :: Embroidery and sequence work , Duptta Size :: 2.2 Mtr, Choli Fabric : Rangoli Silk,Choli Work :: Embroidery and sequence work, Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1HhSyGSY6jVAJkVuJjKwhsQg5XApBcuZU&usp=drive_copy,https://drive.google.com/open?id=1BgYgxt_vp3bIoPIpPOPwaJkgHi89Np9S&usp=drive_copy,https://drive.google.com/open?id=1YAB4Ch974_jxUmQudKOe6lPl-FjOL-3d&usp=drive_copy,https://drive.google.com/open?id=1gSxshqirSDv3VSMkFZV9_GTu4S8GUuic&usp=drive_copy,https://drive.google.com/open?id=1UlaZZ0EJqgt9PfCjlwcDth_F90_S1QCG&usp=drive_copy,,,,,,,,,,,,,,,
90,1010295_White,1795,Elegant Off-White Bridal & Wedding Wear Semi-Stitched Net Lehenga Choli with Intricate Floral Thread Embroidery Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,White,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embroidery Chain Stitch Work , Lehenga Inner :: Ultra Satin ,Lehenga Flair :: 3 Mtr , Duptta Fabric ::Net,Duptta Work :: Embroidery Chain Stitch Work , Duptta Size :: 2.2 Mtr, Choli Fabric :Net,Choli Work :: Embroidery Chain Stitch Work, Choli Size:: 1 Mtr, Choli Inner :: Ultra Satin.",62114290,https://drive.google.com/open?id=1x6vnWZ8HK0wS9CxJLaLbFnw921ThFwi5&usp=drive_copy,https://drive.google.com/open?id=114wdI1KPflv4M2MylFfIpSHdn9NjOYii&usp=drive_copy,https://drive.google.com/open?id=1Kodv934HpV2qEoYbkQ8xWI3mAQuOewFm&usp=drive_copy,https://drive.google.com/open?id=1TtRg_54obSbPjaMHYVsJpeVJ7VqPk4bH&usp=drive_copy,https://drive.google.com/open?id=1fF5llZRxmG27CvkWZdwU2Z1P_-POgNdm&usp=drive_copy,https://drive.google.com/open?id=14bvdVi7wvaoRCoLnvvmoHj3-ZnKtxjaV&usp=drive_copy,https://drive.google.com/open?id=1wmdaxWbrMHc2EVYBX7gmjCIIYHzmbtwl&usp=drive_copy,,,,,,,,,,,,,
91,1010294_Peach,1795,Peach Festive & Wedding Wear Semi-Stitched Net Lehenga Choli with Heavy Floral & Geometric Thread Embroidery Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Peach,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embroidery Chain Stitch Work , Lehenga Inner :: Ultra Satin ,Lehenga Flair :: 3 Mtr , Duptta Fabric ::Net,Duptta Work :: Embroidery Chain Stitch Work , Duptta Size :: 2.2 Mtr, Choli Fabric :Net,Choli Work :: Embroidery Chain Stitch Work ,Choli Size:: 1 Mtr, Choli Inner :: Ultra Satin.",62114290,https://drive.google.com/open?id=1Fmbxw0SxgNPBYLmhx57N7ynF3ajMksYd&usp=drive_copy,https://drive.google.com/open?id=15qKmhbX9zGMybangP8RHwjAUSKKx68p7&usp=drive_copy,https://drive.google.com/open?id=1nR5TJPCdE7VuXCw9Ia2RnD5xUOeq7xH5&usp=drive_copy,https://drive.google.com/open?id=1Qto0vyh1cjIeuNgRrwbPvOxL7gMHpDmF&usp=drive_copy,https://drive.google.com/open?id=1t2HAO0Yw6W8sQc9U1A--U_k_pFzxavV5&usp=drive_copy,https://drive.google.com/open?id=1aeGXJbxbphwpyjqDsJ29NynXx4iJywg0&usp=drive_copy,https://drive.google.com/open?id=1Be7C30peKa8fLLOOU77bZCbOU-LLX7Zj&usp=drive_copy,,,,,,,,,,,,,
92,1010293_LightSky,1795,Elegant Ice Blue Thread Embroidered Wedding Wear Semi-Stitched Net Lehenga Choli with Designer Sheer Sleeve Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Light Sky,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embroidery Chain Stitch Work , Lehenga Inner :: Ultra Satin ,Lehenga Flair :: 3 Mtr , Duptta Fabric ::Net,Duptta Work :: Embroidery Chain Stitch Work , Duptta Size :: 2.2 Mtr, Choli Fabric :Net,Choli Work :: Embroidery Chain Stitch Work, Choli Size:: 1 Mtr, Choli Inner :: Ultra Satin.",62114290,https://drive.google.com/open?id=1-PLIgR-fbmN3lXQ9xaiMV5dKVWUnfdyP&usp=drive_copy,https://drive.google.com/open?id=1k0PcABqEFCr_76T1FgyYnM17zGZwsO2e&usp=drive_copy,https://drive.google.com/open?id=1Cm6gxkOKtCYEwewR_Dr7X6ai8gV6XEPK&usp=drive_copy,https://drive.google.com/open?id=1KJVeeZ3IiIRB13-RysPDiNEs6E6bovmj&usp=drive_copy,https://drive.google.com/open?id=1cGYJwKgxGrKZAkLGLobNspEp63BuAShR&usp=drive_copy,,,,,,,,,,,,,,,
93,1010292_Babypink,1495,Elegant Dusty Pink & Wine Designer Wedding Wear Semi-Stitched Sequins Embroidery Lehenga Choli with Elegant Dupatta,Lehenga Choli,Free Size up to 42Inch,Taffeta Silk,Net,Net,Ultra Satin,Babypink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Sequence Work,Embroidery Sequence Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embrodiery Work and sequence Work, Lehenga Inner :: Ultra Satin ,Lehenga Flair ::3 Mtr , Duptta Fabric ::Net,Duptta Work :: Plain , Duptta Size :: 2.2 Mtr, Choli Fabric :Tapetta ,Choli Work :: Embroidery and sequence work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1GSAdczrOQUqoEYMsI_XjWNoH-riipLLG&usp=drive_copy,https://drive.google.com/open?id=189RGj7vePlN9akjqJBMjFCX39vjThpIY&usp=drive_copy,https://drive.google.com/open?id=1t5QHW6IagCw3CJJ74N3u9DzoEAUGuHuy&usp=drive_copy,https://drive.google.com/open?id=18TzjCQTxa8tH1XjEyoiA5ZutnSoQYzJh&usp=drive_copy,https://drive.google.com/open?id=1FMLcziKOiz_Zlq7XfTIitXjEkEp48FY0&usp=drive_copy,https://drive.google.com/open?id=1RoVqa0TTLrhI_G8GFuSR78V2qG_gnNuR&usp=drive_copy,,,,,,,,,,,,,,
94,1010292_Darkpink,1495,Royal Pink & Emerald Green Designer Wedding Wear Semi-Stitched Sequins Embroidery Lehenga Choli with Elegant Dupatta,Lehenga Choli,Free Size up to 42Inch,Taffeta Silk,Net,Net,Ultra Satin,Darkpink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Sequence Work,Embroidery Sequence Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embrodiery Work and sequence Work, Lehenga Inner :: Ultra Satin ,Lehenga Flair ::3 Mtr , Duptta Fabric ::Net,Duptta Work :: Plain , Duptta Size :: 2.2 Mtr, Choli Fabric :Tapetta ,Choli Work :: Embroidery and sequence work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1-l0WpB_nReayBqFHe0-wLMTUZmzPiCkR&usp=drive_copy,https://drive.google.com/open?id=1eVJVm8hwMfFUS_Vn1kqhEB826fLeEvy2&usp=drive_copy,https://drive.google.com/open?id=1JI8dKH-4NekPWCIaGjE9odMOcdihomzl&usp=drive_copy,https://drive.google.com/open?id=1mf1gaBc3_WBO8FIYb-Y1of3yhwn5owAH&usp=drive_copy,https://drive.google.com/open?id=1xi-iIuDWIZcggzXmqr99nVr2lI1tC2JF&usp=drive_copy,https://drive.google.com/open?id=1WvuYHXZ7serlXvid5OatJW1HhxOGRVmt&usp=drive_copy,,,,,,,,,,,,,,
95,1010292_PistaSeqvens,1495,Pista & Emerald Green Designer Wedding Wear Semi-Stitched Sequins Embroidery Lehenga Choli with Elegant Dupatta,Lehenga Choli,Free Size up to 42Inch,Taffeta Silk,Net,Net,Ultra Satin,Pista,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Sequence Work,Embroidery Sequence Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embrodiery Work and sequence Work, Lehenga Inner :: Ultra Satin ,Lehenga Flair ::3 Mtr , Duptta Fabric ::Net,Duptta Work :: Plain , Duptta Size :: 2.2 Mtr, Choli Fabric :Tapetta ,Choli Work :: Embroidery and sequence work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1GSAdczrOQUqoEYMsI_XjWNoH-riipLLG&usp=drive_copy,https://drive.google.com/open?id=189RGj7vePlN9akjqJBMjFCX39vjThpIY&usp=drive_copy,https://drive.google.com/open?id=1t5QHW6IagCw3CJJ74N3u9DzoEAUGuHuy&usp=drive_copy,https://drive.google.com/open?id=18TzjCQTxa8tH1XjEyoiA5ZutnSoQYzJh&usp=drive_copy,https://drive.google.com/open?id=1FMLcziKOiz_Zlq7XfTIitXjEkEp48FY0&usp=drive_copy,https://drive.google.com/open?id=1RoVqa0TTLrhI_G8GFuSR78V2qG_gnNuR&usp=drive_copy,,,,,,,,,,,,,,
96,1010291_Green,1495,Elegant Green Party Wear Semi-Stitched Georgette Embroidery & Thread Work Lehenga Choli with Designer Blouse,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Multi Work,Embroidery Multi Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work ::Plain, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette,Duptta Work ::Plain , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgrtte,Choli Work :: Embroidery Multi Work Size:: 1 Mtr, Belt :: 1Mtr.",62114290,https://drive.google.com/open?id=16QtBg2hr7FDt2Q_k6RMfbSrJq-g6-8Bg&usp=drive_copy,https://drive.google.com/open?id=1PhzWLmUyU-04OhhkDiFQvP0WF0j3NmZL&usp=drive_copy,https://drive.google.com/open?id=1W67yDUKfq_wai4pgmSb5nLc10okBWvDJ&usp=drive_copy,https://drive.google.com/open?id=1N1xHy3-UWxeiBf8-hA9gLYNl3fbBMIy8&usp=drive_copy,https://drive.google.com/open?id=1tc7-3yNHiHWBU9pRzO5h9PYLR5qP4WcG&usp=drive_copy,,,,,,,,,,,,,,,
97,1010291_Maroon,1495,Elegant Wine Red Party Wear Semi-Stitched Georgette Embroidery & Thread Work Lehenga Choli with Designer Blouse,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Maroon,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Multi Work,Embroidery Multi Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work ::Plain, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette,Duptta Work ::Plain , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgrtte,Choli Work :: Embroidery Multi Work Size:: 1 Mtr, Belt :: 1Mtr.",62114290,https://drive.google.com/open?id=1Ksg7wqP6Rl2g0T4mabeb6GFTApnN4CBs&usp=drive_copy,https://drive.google.com/open?id=1ykS-D9A7zjZ66tYaQbe7fflBFas2uBgg&usp=drive_copy,https://drive.google.com/open?id=138DpfToOZawOxTOqsVcS0-eXHWwo3vN3&usp=drive_copy,https://drive.google.com/open?id=1rL_JWOdf5WbGXCgDdK0RxLqe8VghT7AN&usp=drive_copy,https://drive.google.com/open?id=1Ptgg2GspPmjyfYBEg48_oadU4jkUS8E3&usp=drive_copy,,,,,,,,,,,,,,,
98,1010291_Rama,1495,Elegant Rame Party Wear Semi-Stitched Georgette Embroidery & Thread Work Lehenga Choli with Designer Blouse,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Rama,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Multi Work,Embroidery Multi Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work ::Plain, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette,Duptta Work ::Plain , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgrtte,Choli Work :: Embroidery Multi Work Size:: 1 Mtr, Belt :: 1Mtr.",62114290,https://drive.google.com/open?id=12YnLa1y5c0mUPrPrTJqaciP9UXVWzMNG&usp=drive_copy,https://drive.google.com/open?id=1NYXFdPBKz1n7mtwdcU_1n45-NtuIuuMh&usp=drive_copy,https://drive.google.com/open?id=1nKn5kByN-HSVrXiDWDtCaWVpnO36kMOL&usp=drive_copy,https://drive.google.com/open?id=10cWmSV1lN0c5hPkkxTFHpi3SjJlzCr-J&usp=drive_copy,https://drive.google.com/open?id=17xZQEp_lINggUCiaY2AxFubhDYGFDdfN&usp=drive_copy,,,,,,,,,,,,,,,
99,1010291_Pink,1495,Elegant Pink Party Wear Semi-Stitched Georgette Embroidery & Thread Work Lehenga Choli with Designer Blouse,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Pink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Multi Work,Embroidery Multi Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work ::Plain, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette,Duptta Work ::Plain , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgrtte,Choli Work :: Embroidery Multi Work Size:: 1 Mtr, Belt :: 1Mtr.",62114290,https://drive.google.com/open?id=1vlv9L8AHbbusMYejB9AcVBna8tGKtLb3&usp=drive_copy,https://drive.google.com/open?id=1xTyOO66TlJsbPYyXN4v7U8y9zvYG9imw&usp=drive_copy,https://drive.google.com/open?id=16-Wfit_HpNT6zp6MrVfKIYOx1ROStNTC&usp=drive_copy,https://drive.google.com/open?id=1dDyhHfHyh0p-mqyc33U8s_QqQUuJWHbw&usp=drive_copy,https://drive.google.com/open?id=12XQdM_EnKa4EZI1ldG94Cg6XYvMk_x9t&usp=drive_copy,https://drive.google.com/open?id=1fFZR0eNBlB35eg1G5ZVP-Nqn6jB5v0bO&usp=drive_copy,,,,,,,,,,,,,,
